Season,Week,AwayTeam,HomeTeam,Day,Date,total_plays,scoring_drives,scoring_plays,scoring_drive_rate,scoring_play_rate
2025,Week 1,49ers,Seahawks,SUN,09/07,161,73,9,0.453416149068323,0.055900621118012424
2025,Week 1,Bengals,Browns,SUN,09/07,164,85,9,0.5182926829268293,0.054878048780487805
2025,Week 1,Buccaneers,Falcons,SUN,09/07,173,95,12,0.5491329479768786,0.06936416184971098
2025,Week 1,Cardinals,Saints,SUN,09/07,176,81,10,0.4602272727272727,0.056818181818181816
2025,Week 1,Chiefs,Chargers,FRI,09/05,164,125,13,0.7621951219512195,0.07926829268292683
2025,Week 1,Cowboys,Eagles,THU,09/04,155,93,13,0.6,0.08387096774193549
2025,Week 1,Dolphins,Colts,SUN,09/07,145,100,11,0.6896551724137931,0.07586206896551724
2025,Week 1,Giants,Commanders,SUN,09/07,173,66,8,0.3815028901734104,0.046242774566473986
2025,Week 1,Lions,Packers,SUN,09/07,143,85,12,0.5944055944055944,0.08391608391608392
2025,Week 1,Panthers,Jaguars,SUN,09/07,164,95,11,0.5792682926829268,0.06707317073170732
2025,Week 1,Raiders,Patriots,SUN,09/07,178,71,10,0.398876404494382,0.056179775280898875
2025,Week 1,Ravens,Bills,SUN,09/07,186,139,21,0.7473118279569892,0.11290322580645161
2025,Week 1,Steelers,Jets,SUN,09/07,161,119,18,0.7391304347826086,0.11180124223602485
2025,Week 1,Texans,Rams,SUN,09/07,155,54,7,0.34838709677419355,0.04516129032258064
2025,Week 1,Titans,Broncos,SUN,09/07,174,60,10,0.3448275862068966,0.05747126436781609
2025,Week 1,Vikings,Bears,MON,09/08,170,73,12,0.4294117647058823,0.07058823529411765
2025,Week 10,Bills,Dolphins,SUN,11/09,152,60,11,0.39473684210526316,0.07236842105263158
2025,Week 10,Browns,Jets,SUN,11/09,167,67,13,0.40119760479041916,0.07784431137724551
2025,Week 10,Cardinals,Seahawks,SUN,11/09,171,88,16,0.5146198830409356,0.0935672514619883
2025,Week 10,Eagles,Packers,MON,11/10,165,31,5,0.18787878787878787,0.030303030303030304
2025,Week 10,Falcons,Colts,SUN,11/09,174,74,13,0.42528735632183906,0.07471264367816093
2025,Week 10,Giants,Bears,SUN,11/09,172,72,13,0.4186046511627907,0.0755813953488372
2025,Week 10,Jaguars,Texans,SUN,11/09,176,123,14,0.6988636363636364,0.07954545454545454
2025,Week 10,Lions,Commanders,SUN,11/09,158,130,16,0.8227848101265823,0.10126582278481013
2025,Week 10,Patriots,Buccaneers,SUN,11/09,167,73,14,0.437125748502994,0.08383233532934131
2025,Week 10,Raiders,Broncos,THU,11/06,158,20,5,0.12658227848101267,0.03164556962025317
2025,Week 10,Rams,49ers,SUN,11/09,167,103,18,0.6167664670658682,0.10778443113772455
2025,Week 10,Ravens,Vikings,SUN,11/09,181,97,12,0.5359116022099447,0.06629834254143646
2025,Week 10,Saints,Panthers,SUN,11/09,148,41,7,0.27702702702702703,0.0472972972972973
2025,Week 10,Steelers,Chargers,SUN,11/09,164,54,10,0.32926829268292684,0.06097560975609756
2025,Week 11,49ers,Cardinals,SUN,11/16,175,104,15,0.5942857142857143,0.08571428571428572
2025,Week 11,Bears,Vikings,SUN,11/16,168,71,11,0.4226190476190476,0.06547619047619048
2025,Week 11,Bengals,Steelers,SUN,11/16,168,109,11,0.6488095238095238,0.06547619047619048
2025,Week 11,Buccaneers,Bills,SUN,11/16,167,110,20,0.6586826347305389,0.11976047904191617
2025,Week 11,Chargers,Jaguars,SUN,11/16,144,75,12,0.5208333333333334,0.08333333333333333
2025,Week 11,Chiefs,Broncos,SUN,11/16,175,110,12,0.6285714285714286,0.06857142857142857
